dt,nu,F_up_microJy,z,Name
21.6,3,51,0.06,RXJ1624+7554
19.9,3,54,0.046,RXJ1242-1119
8.6,3,102,0.08,SDSSJ1323+48
8.3,3,57,0.156,SDSSJ1311-01
6.3,8.46,90,0.012,NGC5905
21.9,3,200,0.012,NGC5905
7.46,5,27,0.326,GALEX-D1-9
1.26,1.4,45,0.3698,GALEX-D3-13
8.05,5,24,0.3698,GALEX-D3-13
4.8,4.3,24,0.186,D23H-1
1.6,5,24,0.224,PTF10iya
0.71,5,45,0.17,PS1-10jh
5.4,5,30,0.136,SDSS-TDE1
0.137,8.4,255,0.252,SDSS-TDE2
4.6,5,36,0.252,SDSS-TDE2
1.267,9.3,108,0.146,SDSSJ1201+30
1.267,4.8,135,0.146,SDSSJ1201+30
1.267,1.4,201,0.146,SDSSJ1201+30
4.953,6.1,150,0.1146,PTF09axc
4.953,3.5,330,0.1146,PTF09axc
0.186,4.9,51,0.4046,PS1-11af
0.965,5.875,30,0.4046,PS1-11af
2.363,5.875,45,0.4046,PS1-11af
0.0061,21.8,57,0.0804,PS16dtm
0.00616,6,23,0.0804,PS16dtm
0.252,21.8,51,0.0804,PS16dtm
0.252,6,25,0.0804,PS16dtm
0.00224,22,52,0.016328,iPTF16fnl
0.00221,6.1,34,0.016328,iPTF16fnl
0.000274,15,117,0.016328,iPTF16fnl
0.0107,15,117,0.016328,iPTF16fnl
0.0435,15,117,0.016328,iPTF16fnl
0.139,15,75,0.016328,iPTF16fnl
0.0659,22,108,0.07897,iPTF15af
0.0659,6.1,84,0.07897,iPTF15af
0.0344,16,120,0.071,AT2018zr
0.0379,10,27,0.071,AT2018zr
0.117,10,37.5,0.071,AT2018zr
0.0313,18.95,38,0.059,AT2018fyk
0.1048,18.95,74,0.059,AT2018fyk
0.2055,18.95,53,0.059,AT2018fyk
0.0736,21.7,80,0.1089,AT2017eqx
0.0736,6,27,0.1089,AT2017eqx
0.18,21.7,76,0.1089,AT2017eqx
0.18,6,26,0.1089,AT2017eqx
0.0643,21.7,85,0.029,XMMSL2_J1446+68
0.0643,6,28,0.029,XMMSL2_J1446+68
0.503,21.7,84,0.029,XMMSL2_J1446+68
0.503,6,18,0.029,XMMSL2_J1446+68
0.06611,18.95,50,0.017392,ASASSN-18pg
0.01912,18.95,43,0.017392,ASASSN-18pg
