,t_MJD,t_disc,dt_days,dt_years,z,nu_GHz,F_mJy,Name
0,53568.5,53401,NaN,0.4589041095890411,0.010411,8.4,1.1500000000000001,ARP 299-B AT1
1,53840.5,53401,NaN,1.204109589041096,0.010411,8.4,7.67,ARP 299-B AT1
2,56074.5,53401,NaN,7.324657534246575,0.010411,8.4,1.557,ARP 299-B AT1
3,56358.5,53401,NaN,8.102739726027398,0.010411,8.4,2.416,ARP 299-B AT1
4,56452.5,53401,NaN,8.360273972602739,0.010411,8.4,0.77,ARP 299-B AT1
5,56601.5,53401,NaN,8.76849315068493,0.010411,8.4,1.349,ARP 299-B AT1
6,57176.5,53401,NaN,10.343835616438357,0.010411,8.4,0.878,ARP 299-B AT1
7,57605.5,53401,NaN,11.51917808219178,0.010411,8.4,0.562,ARP 299-B AT1
0,NaN,NaN,3.87,0.010602739726027398,0.354,4.9,0.25,Sw J16644+57
1,NaN,NaN,4.76,0.013041095890410958,0.354,4.9,0.34,Sw J16644+57
2,NaN,NaN,5.0,0.0136986301369863,0.354,4.9,0.34,Sw J16644+57
3,NaN,NaN,5.79,0.01586301369863014,0.354,4.9,0.61,Sw J16644+57
4,NaN,NaN,6.78,0.018575342465753427,0.354,4.9,0.82,Sw J16644+57
5,NaN,NaN,7.77,0.021287671232876712,0.354,4.9,1.48,Sw J16644+57
6,NaN,NaN,9.79,0.026821917808219176,0.354,4.9,1.47,Sw J16644+57
7,NaN,NaN,14.98,0.04104109589041096,0.354,4.9,1.8,Sw J16644+57
8,NaN,NaN,22.78,0.062410958904109595,0.354,4.9,2.1,Sw J16644+57
9,NaN,NaN,35.86,0.09824657534246575,0.354,4.9,4.62,Sw J16644+57
10,NaN,NaN,50.65,0.13876712328767124,0.354,4.9,4.84,Sw J16644+57
11,NaN,NaN,67.61,0.18523287671232877,0.354,4.9,5.86,Sw J16644+57
12,NaN,NaN,94.64,0.2592876712328767,0.354,4.9,9.06,Sw J16644+57
13,NaN,NaN,111.62,0.3058082191780822,0.354,4.9,9.1,Sw J16644+57
14,NaN,NaN,126.51,0.3466027397260274,0.354,4.9,9.1,Sw J16644+57
15,NaN,NaN,143.62,0.3934794520547945,0.354,4.9,11.71,Sw J16644+57
16,NaN,NaN,164.38,0.45035616438356163,0.354,4.9,12.93,Sw J16644+57
17,NaN,NaN,174.47,0.478,0.354,4.9,12.83,Sw J16644+57
18,NaN,NaN,197.41,0.5408493150684931,0.354,4.9,13.29,Sw J16644+57
19,NaN,NaN,213.32,0.5844383561643836,0.354,4.9,12.43,Sw J16644+57
20,NaN,NaN,245.23,0.6718630136986301,0.354,4.9,12.17,Sw J16644+57
21,NaN,NaN,302.95,0.83,0.354,4.9,12.05,Sw J16644+57
22,NaN,NaN,383.92,1.0518356164383562,0.354,4.9,12.24,Sw J16644+57
23,NaN,NaN,453.66,1.2429041095890412,0.354,4.9,11.12,Sw J16644+57
24,NaN,NaN,582.31,1.5953698630136985,0.354,4.9,8.9,Sw J16644+57
25,NaN,NaN,645.0,1.7671232876712328,0.354,4.9,8.24,Sw J16644+57
26,NaN,NaN,651.1,1.7838356164383562,0.354,4.9,8.63,Sw J16644+57
27,NaN,NaN,787.6,2.157808219178082,0.354,4.9,6.23,Sw J16644+57
28,NaN,NaN,1032.0,2.8273972602739725,0.354,4.9,4.21,Sw J16644+57
29,NaN,NaN,1105.0,3.0273972602739727,0.354,4.9,3.52,Sw J16644+57
30,NaN,NaN,1373.0,3.7616438356164386,0.354,4.9,2.34,Sw J16644+57
31,NaN,NaN,1894.0,5.189041095890411,0.354,4.9,1.47,Sw J16644+57
0,NaN,NaN,141.871,0.38868767123287673,0.0206,5.0,1.91,ASASSN-14li
1,NaN,NaN,207.83,0.5693972602739726,0.0206,5.0,1.7417,ASASSN-14li
2,NaN,NaN,246.75,0.6760273972602739,0.0206,5.0,1.562,ASASSN-14li
3,NaN,NaN,303.5145833,0.8315468035616439,0.0206,5.0,1.2565,ASASSN-14li
4,NaN,NaN,379.7,1.0402739726027397,0.0206,5.0,0.873150048,ASASSN-14li
0,NaN,NaN,422,1.1561643835616437,0.00411,5.0,432.0,IGR J12580+0134
1,NaN,NaN,489,1.3397260273972602,0.00411,5.0,362.0,IGR J12580+0134
2,NaN,NaN,1704,4.668493150684932,0.00411,5.0,36.32,IGR J12580+0134
3,NaN,NaN,1810,4.958904109589041,0.00411,5.0,29.9,IGR J12580+0134
0,NaN,NaN,609.0,1.6684931506849314,0.0173,1.53,1.19,XMMSL1 J0740-85
1,NaN,NaN,769.0,2.106849315068493,0.0173,1.7,0.89,XMMSL1 J0740-85
2,NaN,NaN,875.0,2.3972602739726026,0.0173,1.6,0.65,XMMSL1 J0740-85
0,NaN,NaN,52,0.14246575342465753,0.051,8.49,0.29,AT2019dsg
1,NaN,NaN,80,0.2191780821917808,0.051,8.49,0.68,AT2019dsg
2,NaN,NaN,130,0.3561643835616438,0.051,8.49,1.194,AT2019dsg
3,NaN,NaN,188,0.5150684931506849,0.051,8.49,1.074,AT2019dsg
0,55741,55698,43,0.1178082191780822,1.1853,4.5,0.88,Sw J2058+05
1,57522,55698,1824,4.997260273972603,1.1853,5.5,0.225,Sw J2058+05
0,57052.0,55729.5,1322.5,3.6232876712328768,0.89,5.5,0.076,Sw J1112-82
1,57521.5,55729.5,1792.0,4.909589041095891,0.89,5.5,0.07,Sw J1112-82
0,57102,56580,522,1.4301369863013698,0.018,2.9,4.4,CNSS J0019+00
1,57131,56580,551,1.5095890410958903,0.018,2.9,5.1,CNSS J0019+00
2,57152,56580,572,1.5671232876712329,0.018,2.9,7.49,CNSS J0019+00
3,57185,56580,605,1.6575342465753424,0.018,3.0,7.77,CNSS J0019+00
4,57310,56580,730,2.0,0.018,2.9,7.25,CNSS J0019+00
5,57577,56580,997,2.7315068493150685,0.018,2.5,4.44,CNSS J0019+00
